href,salary,position,city,work_year,company
/job_detail/a60561b28b1de42e1nR-0tm7FVNQ.html,40-70K·14薪,图形渲染工程师 (MJ000174),上海,3-5年,紫龙游戏
/job_detail/0928a637b44f893e1nR-0tm5EFRZ.html,14-20K·14薪,场景原画 (MJ000264),上海,经验不限,紫龙游戏
/job_detail/d9f95af6d0732d9a0XJy0tu0GFc~.html,15-25K·14薪,招聘专家（招聘经理） (MJ000114),上海,5-10年,紫龙游戏
/job_detail/a503f26faa3cdf0f1nV-3N-5E1RV.html,20-40K·16薪,3D场景地编,上海,5-10年,叠纸游戏
/job_detail/4e351127feb1492933d43Ni_GFQ~.html,18-25K·14薪,资深灯光师,上海,3-5年,叠纸游戏
/job_detail/eba279178e6ea7703nx-09y8E1s~.html,15-30K,游戏界面设计师,上海,1-3年,叠纸游戏
/job_detail/d558e74d5beed78f1nR42tW4F1ZQ.html,60-90K·20薪,动画总监,上海,5-10年,叠纸游戏
/job_detail/81688e2c06272a8e1nR92Ni6F1tT.html,25-50K·16薪,资深服务器开发,上海,5-10年,叠纸游戏
/job_detail/ea7c2ef398229baa0Hd52N61E1o~.html,25-50K,角色设计师,上海,3-5年,叠纸游戏
/job_detail/49e3eea2e42dd84a3nJ63ty1ElY~.html,18-30K·16薪,场景概念设计,上海,3-5年,叠纸游戏
/job_detail/ca55af67def27ec11nV639q7EVRT.html,25-50K·16薪,游戏引擎开发工程师,上海,3-5年,叠纸游戏
/job_detail/4d17855d944a543f3nV-2929FVQ~.html,30-50K·16薪,资深服务器开发GO,上海,3-5年,叠纸游戏
/job_detail/08803275afa5a5201nB93dq1EVJZ.html,200-250元/天,QA实习生,上海,3天/周,叠纸游戏
/job_detail/634f79ff8a00508f1nB90t27EFBU.html,30-60K·16薪,资深UE4地编专家/组长,上海,3-5年,叠纸游戏
/job_detail/5ca89b64808a6f2d1nZy2di9EFVZ.html,20-40K,古风资深文案编剧,上海,3-5年,叠纸游戏
/job_detail/7e4f4806153dda891nF_3tu4FVBT.html,15-30K·16薪,3D角色模型设计师,上海,经验不限,叠纸游戏
/job_detail/920a9dcce69ca4bd33J_2Ni0F1E~.html,20-40K,日韩角色原画师,上海,3-5年,叠纸游戏
/job_detail/4d36cbbbd73adc851nF_39q0F1BW.html,35-50K·16薪,测试主管,上海,5-10年,叠纸游戏
/job_detail/9c61726a292cb4751nRy3dm1EVRZ.html,40-70K·16薪,技术美术（TA）,上海,3-5年,叠纸游戏
/job_detail/fa52db06b961a4c73nF929y0FVQ~.html,20-40K,资深3D场景地编,上海,3-5年,叠纸游戏
/job_detail/168d659c7d42b64b0XR92tS5FFU~.html,20-30K·14薪,资深动画制作,上海,5-10年,叠纸游戏
/job_detail/de5643d3770bdd761nZy0t6_FFNU.html,20-25K·16薪,3D角色模型设计师（游戏研发项目）,上海,1-3年,叠纸游戏
/job_detail/bd31ca985f0497711nVz2Nq_FFZU.html,15-30K,高级/资深原画师,上海,经验不限,叠纸游戏
/job_detail/f886bfa5422f3efd1nVz0tW6FFNQ.html,15-30K·16薪,角色原画师,上海,经验不限,叠纸游戏
/job_detail/9e71dccb8eb2f55b1nF82t69F1RV.html,30-50K·16薪,引擎开发工程师,上海,经验不限,叠纸游戏
